Name,Mmax,Instruments/Bands,Type,Phot.,Spec.
SN2005by,-17,"B, V, R, I",II,66,1
SN2013ak,-16,"UVOT (W2, W1, M2, U, B, V)",II,76,20
SN2010jr,-17,"UVOT (W2, W1, M2, U, B, V)",II,170,
SN2007md,-17.344,"u', g', r', i', z'",II,205,
SN2003bg,-16.7,"C, B, V, R, I",II P,73,14
SN2015bi,-17.699,V,IIb,6,1
SN2011cb,-15,"UVOT (W2, W1, M2, U, B, V)",IIb,7,
SN2016bmd,-17.6,"w, y, g, V, r, i, z",IIb,8,
PS15bqc,-16,"w, y, g, r, i, z",IIb,10,
SN2016M,-16,"y, g, r, i, z",IIb,11,1
SN2016U,-17,"w, y, g, r, i, z",IIb,12,
SN2016cgq,-20,"y, g, r, i, z",IIb,15,
SN2004ff,-18,"V, R",IIb,19,1
SN2001gd,-13,"C, U, B, V, R, I",IIb,21,3
SN2016avh,-17,"w, y, r, i, z",IIb,21,
SN2011hg,-16.4,"UVOT (W2, W1, M2, U, B, V)",IIb,22,1
SN2000H,-16,"C, B, V, R",IIb,30,13
SN2006bf,-15,"B, V, r', i'",IIb,32,1
SN2008cw,-17,"B, V, r', i'",IIb,32,5
PS15cjr,-18.4,"w, y, r, i, z",IIb,36,
SN2011ef,-16.9,"UVOT (W2, W1, M2, U, B, V)",IIb,40,
SN2012cd,-18.5,"r, R",IIb,48,
SN2011ei,-15.67,"UVOT (W2, W1, M2, U, B, V), C",IIb,73,15
SN2008aq,-16,"UVOT (W2, W1, M2, U, B, V), C, U, B, V, r', i'",IIb,84,8
SN2006T,-16,"UVOT (W2, W1, M2), U, B, V, r', i'",IIb,105,6
SN1996cb,-14,"B, V, R",IIb,125,28
SN2013df,-15.36,"UVOT (W2, W1, M2, U, B, V), C",IIb,135,7
SN2006el,-16,"B, V, r', R, i'",IIb,143,7
SN2008bo,-15,"UVOT (W2, W1, M2, U, B, V), B, V, r', i'",IIb,227,12
SN2011hs,-15,"UVOT (W2, W1, M2, U, B, V), u', U, B, g', V, r', R, i', I, z'",IIb,229,23
SN2011fu,-17.165,"U, B, V, R, I",IIb,239,37
SN2008ax,-14,"UVOT (W2, W1, M2, U, B, V), C, Ks, u', U, B, g', V, r', R, i', I, z', J, H",IIb,646,71
SN2011dh,-15.98,"C, U, B, V, R, I",IIb,1123,78
SN1993J,-17,"U, B, V, R, I",IIb,1815,50
PS15bgt,-17,"w, y, g, r, i, z",IIB?,27,2
SN2006jd,-15.5,"UVOT (W2, W1, M2, U, B, V)",IIn,55,18
PTF11iqb,-18.6,"UVOT (W2, W1, M2, U), r, R",IIn,169,1
