SNname,Type,source,E(B-V) SF2011,finalmaxVjd,finalmaxVjderr,CfA VJD bootstrap,CfA VJD bootstrap error,CfA BJD bootstrap,CfA BJD error,CfA RJD bootstrap,CfA RJD error,CfA IJD bootstrap,CfA IJD error,D11Vmaxdate,D11Vmaxdateerr,MaxVdate,MaxVJD,Vmax_CfAmethod,Vmax_CfAmethod_err,MaxVMag,MaxVmagerr,luminosity distance Mpc,comment
sn2007nc,Ib,lit,,,,,,,,2454398.51,0.17,,,,,,,,,,,,
sn2007qw,Ic,lit,,,,,,,,2454414.3,0.06,,,,,,,,,,,,
sn2007ru,Ic-bl,,0.2254,2454440.54,0.3,2454440.54,0.3,<0000000,<0000000,54440.6,0.32,<0000000,<0000000,54438.7,0.5,20071204,2454438.8,,,15.95,,67.06786429,
sn2007rz,Ic,,0.1723,,,<2454454.79,--,54455.49,1.61,54455.74,1.94,<0000000,<0000000,,,<<200,<2454454.8,,,<18.5,,56.27424304,
sn2007uy,Ib-pec,,0.0194,2454481.84,0.7,2454481.84,0.7,54477.81,0.1,54484.75,0.24,<0000000,<0000000,,,20080116.18,2454481.7,,,15.75,,30.1875545,
sn2007Y,Ib,lit,0.0184,2454165.06,0.2,2454165.06,0.05,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<0000000,2454165.05,15.36,0.01,15.36,0.01,19.31,
sn2008an,Ic,,0.045,,,<2454525.02,--,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<200,<2454524.9,,,<18.5,,118.5265678,
sn2008aq,IIb,,0.0383,,,2454532.74,0.47,<0000000,<0000000,54530.28,3.2,<0000000,<0000000,,,<20080301.5,<2454527.0,,,<16.1,,34.38594319,
sn2008ax,IIb,,0.0186,2454549.88,0.09,2454549.88,0.09,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,54549,0.5,20080323,2454549.5,,,13.51,,9.052198207,
sn2008bo,IIb,,0.0513,2454569.74,0.16,2454569.74,0.16,54567.8,0.23,54570.33,0.59,<0000000,<0000000,,,20080415.5,2454569.7,,,16.12,,21.32591389,
sn2008cw,IIb,,0.006,,,<2454622.89,--,<0000000,<0000000,<0000000,<0000000,54623.37,0.1,,,<20080605,<2454622.9,,,<18.5,,142.3984963,
sn2008D,Ib,,0.0194,2454494.73,0.08,2454494.73,0.08,54491.69,0.12,54495.47,54495.47,<0000000,<0000000,54491.2,0.5,20080127.9,2454493.6,,,17.33,,30.1875545,
sn2008hh,Ic,,0.0427,,,-,--,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,-,<00000000,,,-,,87.1,
sn2009bb,Ic-bl,,0.0847,2454923.64,0.06,2454923.64,0.15,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<0000000,<000000,-,-,16.07,,40.2,
sn2009er,Ib-pec,,0.0389,2454982.59,0.16,2454982.59,0.16,<0000000,<0000000,54984,0.24,<0000000,<0000000,,,20090531.6,2454983.1,,,17.24,,153.9713304,
sn2009iz,Ib,,0.0729,2455109.36,1.36,2455109.36,1.36,55106.72,0.17,55111.73,0.25,<0000000,<0000000,,,20091004.8,2455109.3,,,16.96,,61.53040001,
sn2009jf,Ib,,0.0971,2455122.21,0.06,2455122.21,0.06,55119.23,0.21,55123.52,0.07,<0000000,<0000000,,,20091017,2455121.5,,,15.03,,35.16217347,
sn2009K,IIb,,0.0491,,,<0000000,,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<0000000,<2454850.570,,,<17.52,,34,
sn2009mg,IIb,,0.0388,2455189.53,0.01,2455189.53,0.1,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<0000000,<000000,-,-,15.78,,40.006,
sn2009mk,IIb,lit,,,,2455193.18,0.3,,,,,,,,,,,,,,,,
